Ethnic Group,Park Hill & Whitgift,Heathrow Villages,Bloomsbury,Worcester Park South,St James's (Westminster),West End (Westminster),Stratford Olympic Park,Motspur Park & Old Malden East,Tudor (Kingston upon Thames),Cranham
Mixed or Multiple ethnic groups: Any other ethnic group,12,16,40,6,41,31,37,8,10,17
White,2347,5563,6036,5483,6287,6919,5421,4113,5018,11515
White: African unspecified,0,5,1,0,2,0,0,2,3,0
White: Albanian,13,47,16,12,12,10,6,7,1,13
White: Algerian,0,2,0,0,0,0,0,0,0,0
White: Arab,0,2,0,0,1,13,4,5,5,0
White: Argentinian,0,1,4,0,0,0,3,0,1,0
White: Armenian,0,1,5,2,9,9,0,0,0,0
White: Australian/New Zealander,3,5,58,14,52,57,43,15,19,11
White: Austrian,1,1,9,1,19,25,4,1,7,0
White: Belarusian,2,0,2,0,7,3,6,1,0,0
White: Belgian,0,1,16,1,15,28,1,0,1,0
White: Bosnian,0,0,3,0,5,4,0,0,2,3
White: Brazilian,1,6,19,3,25,33,23,8,10,0
White: Bulgarian,11,45,18,29,23,25,55,28,20,17
White: Colombian,0,0,5,1,0,3,1,1,0,1
White: Cornish,0,3,4,2,1,0,0,0,0,1
White: Croatian,1,8,9,0,11,10,1,0,1,0
White: Cypriot (part not stated),0,1,15,0,6,13,7,0,2,2
White: Czech,3,6,15,2,7,12,8,1,2,0
White: Danish,1,2,12,1,21,15,6,1,4,2
White: Dutch,3,1,29,3,19,38,31,1,5,1
"White: English, Welsh, Scottish, Northern Irish or British",1707,3375,3249,4892,3587,3070,3218,3414,3810,10886
White: Estonian,0,1,5,0,3,3,3,1,0,0
White: European Mixed,100,335,508,118,557,610,408,138,257,77
White: Finnish,0,3,12,0,4,42,9,2,0,3
White: French,10,16,256,10,156,308,59,13,24,7
White: Georgian,0,1,2,0,5,4,2,5,0,3
White: German,9,3,104,9,93,135,61,10,125,7
White: Greek,8,19,109,4,67,306,102,21,17,11
White: Greek Cypriot,7,0,43,7,14,28,17,13,5,8
White: Gypsy or Irish Traveller,0,34,5,0,0,2,6,3,1,11
White: Hispanic or Latin American,13,9,21,4,56,58,24,0,24,0
White: Hungarian,15,27,25,0,9,24,33,4,9,11
White: Iranian,3,2,5,0,9,13,2,1,10,0
White: Irish,47,109,211,127,193,222,191,114,127,146
White: Israeli,0,0,0,0,4,5,0,1,0,0
White: Italian,11,48,184,19,244,249,161,27,47,12
White: Jewish,9,2,40,0,25,53,10,0,3,2
White: Kosovan,0,7,15,4,15,29,9,1,0,5
White: Kurdish,0,0,0,0,0,4,1,0,2,0
White: Latvian,4,27,7,0,6,5,9,2,5,0
White: Lithuanian,19,66,17,3,13,29,52,14,4,43
White: Maltese,0,2,1,5,1,7,0,3,3,1
White: Mixed Irish,1,11,18,3,4,14,3,10,4,3
White: Mixed White,1,0,3,2,2,0,0,0,1,0
White: Moldovan,0,13,2,0,1,1,1,0,0,1
White: North American,9,8,72,6,96,181,39,11,18,3
White: North Macedonian,0,3,3,2,6,3,3,0,0,0
White: Norwegian,0,0,5,0,12,14,6,0,2,0
White: Other Eastern European,44,114,51,11,63,61,85,13,55,28
White: Other Middle East,0,7,13,0,8,27,3,3,8,0
White: Other Mixed,5,1,27,6,22,16,11,2,11,3
White: Other North African,1,7,1,0,2,3,0,0,1,0
White: Other Traveller,0,0,0,0,0,0,0,1,0,0
"White: Other White, White unspecified",42,102,136,25,141,233,107,23,45,25
White: Polish,83,429,92,35,67,74,123,64,59,42
White: Portuguese,14,214,51,18,66,63,78,14,17,4
White: Roma,30,52,53,1,72,90,56,0,20,1
White: Romanian,56,287,45,7,38,38,78,16,21,64
White: Russian,3,8,61,5,118,125,63,5,28,5
White: Serbian,2,2,14,2,9,13,2,0,10,0
White: Slovakian,1,16,14,3,5,31,11,3,6,4
White: Slovenian,1,0,8,0,3,6,7,1,1,0
White: South African,6,7,11,22,12,12,20,29,31,23
White: South American,1,0,4,2,3,5,3,0,4,1
White: Spanish,15,15,151,8,83,201,65,20,29,3
White: Swedish,2,1,22,2,33,34,15,3,8,0
White: Swiss,0,1,23,0,12,39,7,1,1,1
White: Turkish,13,9,64,25,53,42,29,11,48,9
White: Turkish Cypriot,3,0,2,0,1,3,1,0,0,1
White: Ukrainian,6,22,10,5,30,45,11,6,11,2
White: White African,2,0,4,8,7,3,6,11,8,3
White: White and North African or Middle Eastern,0,0,2,0,3,5,0,0,2,0
White: White Caribbean,1,2,0,0,2,0,1,0,2,0
White: Zimbabwean,0,0,0,0,0,0,0,0,1,0
White: Any other ethnic group,4,9,15,12,17,33,11,8,10,5
Other ethnic group,287,926,626,214,799,1195,715,469,273,97
Other ethnic group: Afghan,2,37,3,0,2,4,8,1,0,0
Other ethnic group: African unspecified,3,15,6,0,10,4,11,0,1,0
Other ethnic group: African Asian,2,1,1,3,0,2,0,1,0,0
Other ethnic group: Albanian,0,8,0,1,0,7,0,1,0,0
Other ethnic group: Algerian,0,0,0,0,6,1,7,0,0,0
Other ethnic group: Arab,61,179,232,41,364,623,258,203,72,1
Other ethnic group: Armenian,1,0,6,0,5,2,0,0,3,1
Other ethnic group: Asian British,4,3,0,0,1,0,1,0,1,1
"Other ethnic group: Bangladeshi, British Bangladeshi",0,0,1,0,0,0,2,0,1,0
Other ethnic group: Black and Asian,0,1,1,0,0,0,5,0,0,0
Other ethnic group: Brazilian,3,1,0,8,6,3,1,0,1,0
Other ethnic group: Bulgarian,0,5,0,0,0,0,0,0,0,0
Other ethnic group: Caribbean,9,0,0,2,1,1,0,3,0,1
Other ethnic group: Caribbean Asian,1,0,0,0,0,0,0,3,2,1
Other ethnic group: Chinese,1,1,19,8,4,8,15,1,6,0
Other ethnic group: Colombian,0,1,0,0,2,3,3,0,0,0
Other ethnic group: Cornish,0,0,0,0,0,0,0,0,0,0
Other ethnic group: Cypriot (part not stated),0,0,4,0,1,1,2,0,0,4
Other ethnic group: Czech,0,0,0,0,0,0,0,0,0,0
